Acquisition Year,Catalog No,Categories,Category,Collection,Collector,Country,Culture,Curatorial Notes,Date,Dimensions,Donor,Exhibition History,Hall,Keywords,Locale,Material,Period,Publication History,Region,Regions,Subject,Technique,Thumb URL,Title
1911 [PURCHASE],29.0/ 1533,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,AXE HEAD,"SONORA, NW OF ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1533.jpg,AXE HEAD
1911 [PURCHASE],29.0/ 1534,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,AXE HEAD,"SONORA, NW OF ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1534.jpg,AXE HEAD
1911 [PURCHASE],29.0/ 1535,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,STONE,"SONORA, NW OF ALTAR",STONE,,,,,,,https://anthro.amnh.org/images/preview/290/290_1535.jpg,STONE PIECE
1911 [PURCHASE],29.0/ 1536,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,STONE,"SONORA, NW OF ALTAR",STONE,,,,,,,https://anthro.amnh.org/images/preview/290/290_1536.jpg,STONE PIECE
1911 [PURCHASE],29.0/ 1537,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,AXE HEAD,"SONORA, PITIQUITE",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1537.jpg,AXE HEAD
1911 [PURCHASE],29.0/ 1538,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,AXE HEAD,"SONORA, PITIQUITE",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1538.jpg,AXE HEAD
1911 [PURCHASE],29.0/ 1539,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,AXE HEAD,"SONORA, PITIQUITE",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1539.jpg,AXE HEAD
1911 [PURCHASE],29.0/ 1540,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,AXE HEAD,"SONORA, PITIQUITE",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1540.jpg,AXE HEAD
1911 [PURCHASE],29.0/ 1541,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,HAMMER,"SONORA, PITIQUITE",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1541.jpg,HAMMER
1911 [PURCHASE],29.0/ 1542,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,STONE,"SONORA, PITIQUITE",STONE,,,,,,,https://anthro.amnh.org/images/preview/290/290_1542.jpg,STONE
1911 [PURCHASE],29.0/ 1543,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,RING,"SONORA, PITIQUITE",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1543.jpg,RING
1911 [PURCHASE],29.0/ 1544,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,GRINDING TOOL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1544.jpg,VARA
1911 [PURCHASE],29.0/ 1545,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,GRINDING TOOL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1545.jpg,VARA
1911 [PURCHASE],29.0/ 1546,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,GRINDING TOOL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1546.jpg,VARA
1911 [PURCHASE],29.0/ 1547,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,GRINDING STONE,SONORA,STONE,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1547.jpg,GRINDING STONE
1911 [PURCHASE],29.0/ 1548,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,RING,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1548.jpg,RING
1911 [PURCHASE],29.0/ 1549,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,STONE,SONORA,STONE,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1549.jpg,STONE
1911 [PURCHASE],29.0/ 1550,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,STONE,SONORA,STONE,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1550.jpg,STONE
1911 [PURCHASE],29.0/ 1551,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SHELL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1551.jpg,SHELL PIECE
1911 [PURCHASE],29.0/ 1552,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,ARROW POINT,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1552.jpg,ARROW POINT
1911 [PURCHASE],29.0/ 1553,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,ARROW POINT,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1553.jpg,ARROW POINT
1911 [PURCHASE],29.0/ 1554,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,ARROW POINT,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1554.jpg,ARROW POINT
1911 [PURCHASE],29.0/ 1555,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SPINDLE WHORL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1555.jpg,SPINDLE WHORL
1911 [PURCHASE],29.0/ 1556,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SPINDLE WHORL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1556.jpg,SPINDLE WHORL
1911 [PURCHASE],29.0/ 1557,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SPINDLE WHORL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1557.jpg,SPINDLE WHORL
1911 [PURCHASE],29.0/ 1558,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,MINERAL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1558.jpg,MINERAL PIECE
1911 [PURCHASE],29.0/ 1559,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SHELL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1559.jpg,SHELL
1911 [PURCHASE],29.0/ 1560,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SHELL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1560.jpg,SHELL
1911 [PURCHASE],29.0/ 1561,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SPINDLE WHORL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1561.jpg,SPINDLE WHORL
1911 [PURCHASE],29.0/ 1562,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SHELL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1562.jpg,SHELL
1911 [PURCHASE],29.0/ 1563,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,AXE,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1563.jpg,AXE
1911 [PURCHASE],29.0/ 1564,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,AXE,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1564.jpg,AXE
1911 [PURCHASE],29.0/ 1565,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,GRINDING TOOL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1565.jpg,VARA PIECE
1911 [PURCHASE],29.0/ 1566,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,ARROW STRAIGHTENER,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1566.jpg,ARROW STREIGHTENER
1911 [PURCHASE],29.0/ 1567,,WEAPONS AND AMMUNITION,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,CLUB,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1567.jpg,CLUB
1911 [PURCHASE],29.0/ 1568,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,AXE,"AZ, MARICOPA COUNTY, GILA BEND, PAPAGO",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1568.jpg,AXE
1911 [PURCHASE],29.0/ 1569,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,AXE,"SONORA, BLACKWATER SACATON RESERVATION",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1569.jpg,AXE
1911 [PURCHASE],29.0/ 1571,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,LANCE POINT,SONORA,,,,,,,,https://anthro.amnh.org/images/preview/290/290_1571.jpg,LANCE POINT
1911 [PURCHASE],29.0/ 1583,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SPINDLE WHORL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1583.jpg,SPINDLE WHORL
1911 [PURCHASE],29.0/ 1584,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SPINDLE WHORL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1584.jpg,SPINDLE WHORL
1911 [PURCHASE],29.0/ 1585,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SPINDLE WHORL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1585.jpg,SPINDLE WHORL
1911 [PURCHASE],29.0/ 1586,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,STONE,SONORA,STONE,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1586.jpg,STONE
1911 [PURCHASE],29.0/ 1587,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,"AWL, PICK",SONORA,STONE,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1587.jpg,"STONE, PICK OR AWL?"
1911 [PURCHASE],29.0/ 1588,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,ARROW POINT,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1588.jpg,ARROW POINT
1911 [PURCHASE],29.0/ 1589,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,ARROW POINT,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1589.jpg,ARROW POINT
1911 [PURCHASE],29.0/ 1590,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,ARROW POINT,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1590.jpg,ARROW POINT
1911 [PURCHASE],29.0/ 1591,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,GRINDING TOOL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1591.jpg,VARA
1911 [PURCHASE],29.0/ 1592,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,GRINDING TOOL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1592.jpg,VARA
1911 [PURCHASE],29.0/ 1593,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,GRINDING TOOL,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1593.jpg,VARA
1911 [PURCHASE],29.0/ 1594,"CONTAINERS, EQUIPMENT",,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,DISH,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1594.jpg,DISH
1911 [PURCHASE],29.0/ 1595,"CONTAINERS, EQUIPMENT",,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,DISH,SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1595.jpg,DISH
1911 [PURCHASE],29.0/ 1597,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,"CEREMONIAL, RING",SONORA,,,,SOUTHWEST,,,,https://anthro.amnh.org/images/preview/290/290_1597.jpg,"RING, CEREMONIAL"
1911 [PURCHASE],29.0/ 1602,,CONTAINERS,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,VESSEL,"AZ, GRAHAM COUNTY, PIMA",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1602.jpg,VESSEL
1911 [PURCHASE],29.0/ 1603,,CONTAINERS,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,POT,"AZ, GRAHAM COUNTY, PIMA",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1603.jpg,POT
1911 [GIFT],29.0/ 1605,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,STONE,SONORA,STONE,,,,,,,https://anthro.amnh.org/images/preview/290/290_1605.jpg,STONE
1897 [EXPEDITION],30 / 1700,,CONTAINERS,MEXICAN & CENTRAL AMERICAN ARCHAEOLOGICAL COLLECTION,,MEXICO,,,,D:13.4 H:6.8 (in CM),"LUMHOLTZ, CARL, DR.",,,BOWL,"NAYARÍT, TEPIC",CLAY,,,,,,"SCULPTED, RED PIGMENT, PAINTED",https://anthro.amnh.org/images/preview/30/30_1700.jpg,BOWL
1897 [EXPEDITION],30 / 1701,,CONTAINERS,MEXICAN & CENTRAL AMERICAN ARCHAEOLOGICAL COLLECTION,,MEXICO,,,,D:16.5 H:5.1 (in CM),"LUMHOLTZ, CARL, DR.",,,BOWL,"NAYARÍT, TEPIC",CLAY,,,,,,"SCULPTED, INCISED",https://anthro.amnh.org/images/preview/30/30_1701.jpg,BOWL
1897 [EXPEDITION],30 / 1702,,CONTAINERS,MEXICAN & CENTRAL AMERICAN ARCHAEOLOGICAL COLLECTION,,MEXICO,,,,D:13.4 H:5.5 (in CM),"LUMHOLTZ, CARL, DR.",,,BOWL,"NAYARÍT, TEPIC",CLAY,,,,,,"SCULPTED, RED PIGMENT, PAINTED",https://anthro.amnh.org/images/preview/30/30_1702.jpg,BOWL
1897 [EXPEDITION],30 / 1703,,CONTAINERS,MEXICAN & CENTRAL AMERICAN ARCHAEOLOGICAL COLLECTION,,MEXICO,,,,D OF BASE:11.7 D OF RIM:4.6 H:7.7 (in CM),"LUMHOLTZ, CARL, DR.",,,OLLA,"NAYARÍT, TEPIC",CLAY,,,,,,SCULPTED,https://anthro.amnh.org/images/preview/30/30_1703.jpg,OLLA
